Score,62c763bdf8d351b15df3a4d62a03eba0,d3893e43819a907055a84e48a6ee97ba,c8e64404361f2426490d39459832c66a,282a02a1743eb47c6b340e52ecce40a2,aceab5a3452e2901e645065bda3e8847,812926407774771b3bd9885f7bfa4841,0cace8a29a1d6b225a8da561d35e8f5a,c6e03256680b96b52e3345a497333c2b,26b648475cfd06695a17ac95f4469744,210fe1c0ffefde5bcd03d59b1efa6984,88e89266e58f1f125ebc4e0f66e2c060,a14d9ee17051ec08a4334ba43089502c,385042a6042a0df5ddfec6e17f285ae7,e371cd7cdde3e7ccb9834290fd4a92d0,0a02751cacf5e1cdfcc842a7f220199f,778e0fd8f034b7cfd539b1b523ed4c4a,38ca761a5808eace8bc8f1fcfdb5b5a8,5ab3040d8617bf9f4d4cef4e56dcfd03,1545660e72158c7e90da5ad4c877a124,e06be7a69dbd6d6866a2799cd40c4bfe,0ae0c5a4fb9001d63669a0aa5b592167,8d4b50ec0cf99097e9ab0835937afee5,912ce8c21d8fb8abc491cb205ec23e9f,f70788e8446c1bc42684316de0a6c164,b76fa2f50a42120ec54fa98c29113326,3663000b31a5c80922afc6e48322accb,31bb67fe67e57dbeb8c4819b01892588,017ba03ed108f492c9293c7c95e5cae9,25447f441df2f134223d3e43319c99ad,f0426369f61595aee97055965ee7e6a3,dacb03ea801d459ef08db23a8b1d104f,e38601380bfbab35dd8c5927283533fb
41603.96127128601,0.29264235496520996,0.5881361961364746,113.88260340690613,22.475666522979736,29.25305199623108,32.691697120666504,37.249393463134766,92.20532369613647,3600,1340.2104680538177,3600,731.4136707782745,497.68160462379456,3600,0.24310803413391113,3600,3600,3600,0.2984592914581299,1.6174612045288086,3600,9.426424026489258,0.34453415870666504,1.6245205402374268,3600,1.691220760345459,6.318074703216553,3600,1736.074253320694,2.1979823112487793,3600,946.1809747219086
32300.19212794304,0.2939889430999756,0.5833699703216553,12.944209098815918,22.60391354560852,29.552330255508423,33.215922832489014,38.075111627578735,237.6002607345581,150.79035806655884,262.81905722618103,141.83381128311157,113.52276706695557,659.1465418338776,224.6523404121399,0.23482394218444824,3600,3600,3600,0.3070852756500244,1.6638646125793457,3600,9.3077232837677,0.3303654193878174,1.599470853805542,3600,1.1045000553131104,6.0078465938568115,3600,3600,2.2821691036224365,3600,1549.720295906067
48721.61490058899,0.2853541374206543,0.5921821594238281,3600,24.486416339874268,29.70437717437744,33.28853511810303,36.707629680633545,1108.2796308994293,203.74241542816162,171.46925377845764,107.47656297683716,3600,3600,183.3341851234436,0.23502254486083984,3600,3600,3600,0.31618785858154297,1.6159837245941162,3600,9.483268022537231,0.34695982933044434,1.6330044269561768,3600,3600,6.290093898773193,3600,3600,2.3278374671936035,3600,3600
68103.92499017715,288.85410928726196,3600,5.844555139541626,69.12207818031311,117.3558828830719,136.07798051834106,151.88591933250427,217.4250192642212,47.52856159210205,192.91159868240356,94.54116034507751,127.12710118293762,3600,97.46210551261902,3600,3600,3600,1757.1897530555725,3600,3600,3600,3600,3600,3600,3600,0.5991652011871338,3600,3600,3600,3600,3600,3600
72802.49480628967,3600,3600,41.45871376991272,144.3552691936493,182.47580218315125,209.61879348754883,232.96933603286743,168.19881391525269,573.9584200382233,692.5546669960022,245.2312035560608,1131.1935360431671,495.33550357818604,824.5614850521088,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1675.4264032840729,3600,3600,1385.1568591594696
35308.48812460899,0.29816341400146484,0.5804178714752197,15.214210033416748,22.449360370635986,30.27160906791687,33.268961668014526,38.24558448791504,188.15414786338806,301.97300577163696,826.1576399803162,177.2155225276947,377.1690170764923,575.5992743968964,856.8333599567413,0.6188995838165283,3600,3600,3600,0.5668885707855225,4.213879585266113,3600,86.80621886253357,0.948451042175293,2.5625548362731934,3600,1.0054028034210205,99.1338438987732,3600,1658.9077060222626,3600,3600,1210.2940049171448
35154.09802365303,0.2909247875213623,0.5840799808502197,31.57757258415222,22.335447788238525,30.0865740776062,33.849032163619995,37.28239941596985,248.05268478393555,212.669917345047,221.54557514190674,143.28023838996887,248.0133500099182,1266.9510169029236,235.44282484054565,0.23558592796325684,3600,3600,3600,0.30702781677246094,1.6185798645019531,3600,9.444284915924072,0.3381626605987549,1.5968983173370361,3600,0.2929043769836426,5.952495813369751,3600,3600,2.3504457473754883,3600,3600
31811.039768218994,0.28980350494384766,0.5954186916351318,22.197761297225952,22.318286180496216,28.90623378753662,34.30853867530823,36.625521659851074,3600,138.1460371017456,166.74048161506653,103.72036814689636,179.53635048866272,547.6133444309235,178.07505011558533,0.23003840446472168,3600,3600,3600,0.3016490936279297,1.7660822868347168,3600,9.719747543334961,0.3324558734893799,1.5692737102508545,3600,0.27249646186828613,6.165098190307617,3600,850.8949437141418,2.47981333732605,3600,678.2349739074707
29122.101408481598,0.2894256114959717,0.5891122817993164,20.13362431526184,22.130436420440674,30.525647401809692,32.82696199417114,36.49227571487427,1381.8151504993439,128.34468579292297,153.4171907901764,94.94502067565918,167.0615472793579,267.5681722164154,166.0349280834198,0.2375650405883789,3600,3600,3600,0.31240200996398926,1.6524536609649658,3600,9.3978590965271,0.34677720069885254,1.599900722503662,3600,0.2271111011505127,6.087715148925781,3600,847.1982564926147,2.294368267059326,3600,550.5728206634521
35429.55508470535,0.28630948066711426,0.5997714996337891,28.66967010498047,21.529130935668945,31.05743908882141,32.5358829498291,37.16818594932556,338.15134143829346,202.362131357193,205.9887022972107,127.09871006011963,240.9071753025055,1521.565994977951,218.02278447151184,0.25783491134643555,3600,3600,3600,0.310732364654541,1.6373536586761475,3600,10.795730352401733,0.3419382572174072,1.5939092636108398,3600,0.2235419750213623,6.10890793800354,3600,3600,2.3419060707092285,3600,3600
