Score,945d67baeb7860df648ab6ef4782d5ed,3ff114cc7bee4f39fa56a0325e605c2d,9811b95bfd5888014d27e6dd384ff502,bd19da88800086971e554e9d66bc641d,05ed64e4e6229f446082752936768489,2eb039a5aa6bfb6e41d3afd41071ca55,a58b8a5eb61d3110d9fa36a03de588d2,5cb1ca8fe8a9d9125ea9accd498445f1,db4a0d4ba26c46d66ad6cdcb0645a4d9,7b9d8b9b31b530effd634f5a8f1f4411,e84b00b1f134e0e071a2baf54cfc90e8,55199d55fa9c3751a525d6c0a0e649bd,7b4622a3ab523264378a560199de47ed,67b4844c4bfbaf961cbbd79b953aa5c2,aa4a861240c0c39b5aa44602133ae5e1,4d7f6efbae05b66ffbbd509a430d57f8,40737c2f46512069d54b0d2bb3b47a20,9c7043290cee8127c3626d8067759267,8b31606e10656ff7eb2936262b647443,ea827f81bd0e9735739adc0d9da1b446,f15ad4206d95a3f8f1358b33301539be,ae7e391be73431e5dddf2bbafe95758a,1f6cf91464c6a19022144774b162a3cc,d7f2e4ec8e631387c928c79e1054c663,953e9ff735bdf5ada27b0ab2b908b6af,d3daba681653ea969bedf0c4a2fdb947,4611cd26b441b8c5866e4a2c5a7952dc,8270ae50e6f2881136868db6d3a88eee,2a4680a801ad32ab8768030250daf0c8,8db36208fc6ce43b4002cf048c549b3f,b86f2425cafeb1239d65bd529e372e02,d5f6b2092795aad67d1df1fd3a329552
68960.46130108833,3600,586.5288677215576,3600,1154.618131160736,541.8344006538391,153.42612147331238,397.69898533821106,3600,3600,3600,598.220231294632,1435.1008410453796,582.6933703422546,1448.1082172393799,1626.5241458415985,3600,875.3254594802856,1778.3263897895813,350.2094166278839,924.1519215106964,1180.9795665740967,3600,458.9459447860718,3600,3600,867.7692902088165,3600,3600,3600,3600,3600,3600
20701.240055799484,227.233332157135,107.80226302146912,93.48877429962158,121.68733954429626,79.76929378509521,88.77831482887268,96.05407643318176,150.77133870124817,134.2925567626953,116.36277222633362,98.27218890190125,174.20660638809204,105.38115406036377,277.3121712207794,247.69784092903137,307.28424859046936,146.24216079711914,232.65512943267822,33.1800594329834,477.3504135608673,238.84755301475525,229.81600737571716,239.92089748382568,401.350382566452,371.29091453552246,185.32094192504883,3600,707.8478467464447,3600,3600,3600,611.0234770774841
20610.645892620087,152.02147221565247,93.35143399238586,115.49185919761658,129.99362468719482,82.27958393096924,82.78808283805847,78.89124727249146,172.94026374816895,152.39378786087036,171.04862022399902,135.60622811317444,156.331205368042,128.07359194755554,218.1260633468628,230.4570209980011,270.7146866321564,201.5515215396881,219.284569978714,12.398035764694214,355.44758701324463,278.76298117637634,242.21267747879028,230.55091786384583,411.7993211746216,558.9555513858795,168.77226400375366,3600,540.8862950801849,3600,3600,3600,619.5153977870941
68300.83119535446,1279.06471991539,625.130537033081,3600,1168.9604573249817,574.2725355625153,143.00417351722717,440.9199457168579,3600,3600,3600,580.1642963886261,1609.4381229877472,548.6573052406311,1489.1731488704681,1624.5236611366272,3600,824.1615750789642,3600,336.62984585762024,683.6858389377594,1112.199616909027,3600,433.843469619751,3600,3600,827.0019452571869,3600,3600,3600,3600,3600,3600
21676.049171686172,292.6048049926758,112.01002264022827,115.62871718406677,141.87284660339355,121.25238251686096,83.3904378414154,134.92203044891357,152.4197335243225,154.36537790298462,136.5145480632782,98.68775653839111,278.74328684806824,117.17459845542908,394.63454723358154,251.2025489807129,260.0811746120453,116.96798706054688,325.37944769859314,242.89425039291382,293.80705523490906,237.27832579612732,321.22944355010986,233.90560722351074,559.9071137905121,435.18219089508057,179.1994490623474,3600,902.4837336540222,3600,3600,3600,582.3097529411316
25379.513634443283,76.21690082550049,130.274671792984,155.53606128692627,174.68199133872986,163.25848054885864,149.45037961006165,181.01297044754028,211.74809002876282,280.2992889881134,212.45822596549988,165.77175903320312,432.395409822464,162.29915118217468,523.143431186676,393.51909708976746,418.6956868171692,192.41362643241882,486.5845673084259,38.403215408325195,596.8886234760284,332.1730182170868,404.43443989753723,396.5658640861511,923.8568081855774,849.4183716773987,318.26910519599915,3600,1540.9267320632935,3600,3600,3600,1068.8176665306091
29144.826993227005,146.48276281356812,158.73862099647522,168.0521719455719,186.87665915489197,201.5372531414032,194.00432229042053,234.95764994621277,223.00661492347717,245.90684604644775,267.3858542442322,216.6281774044037,387.2979393005371,257.83043670654297,875.794296503067,492.87183237075806,400.0277261734009,243.8149118423462,644.9508514404297,65.91210532188416,635.8717415332794,471.7487473487854,508.87622594833374,447.2273573875427,1161.531054019928,619.7201404571533,331.87076783180237,3600,3600,3600,3600,3600,1355.9039261341095
21182.317635774612,387.4295492172241,87.58861494064331,107.36544132232666,116.3144383430481,100.7747163772583,91.70174312591553,97.87972593307495,161.11266565322876,147.04054141044617,137.6199231147766,108.25195980072021,199.0291337966919,122.62345623970032,268.3477931022644,260.176784992218,265.05670189857483,183.49316692352295,243.9952335357666,9.749303817749023,390.6852490901947,345.5110640525818,256.3934414386749,259.603324174881,514.186377286911,405.2495231628418,173.69287514686584,3600,748.2117652893066,3600,3600,3600,593.233122587204
34449.94437670708,1601.9880194664001,179.44356322288513,182.75652360916138,186.86003708839417,216.98921632766724,225.85089492797852,244.16764640808105,251.55525064468384,210.27751398086548,237.51624274253845,240.6147975921631,513.2050096988678,304.26789593696594,796.4113366603851,482.131751537323,488.50901460647583,299.86791014671326,914.6498756408691,470.24042224884033,735.6852331161499,507.0578649044037,424.0584580898285,543.3055276870728,1234.413815021515,987.6781673431396,370.44238805770874,3600,3600,3600,3600,3600,3600
35937.0211687088,283.2897071838379,207.64709210395813,218.49533128738403,278.2810997962952,221.13666081428528,343.5243821144104,281.93553733825684,361.7919795513153,362.2413053512573,286.6809413433075,374.9512321949005,450.7601981163025,378.8282780647278,736.3856296539307,641.7794425487518,617.8945672512054,439.29448652267456,852.4304573535919,108.93392944335938,1107.3329603672028,780.0270380973816,770.0747463703156,1122.1397700309751,1410.058880329132,1082.9483535289764,618.1571619510651,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
