Config,Score,Mean,8751f8d1570611ba079dfd862b14c514,9e18c079efdc17ceade5c7a330b507d2,2b7e863462991fd008f9898eca63ebf4,bcd753d08904860fa93a794557185e04,b5cede38496a803dcfa155a5f4295c47,83cf6bfa7945b54e8c4ac659d1a4359e,35b19a3332597c1e5a3668f75ca72971,d5efaaee0197822c2676e45bac5068b2,f20c2aa0f9cced05a74031e0a3afaa1a,323223c497a22051f5a3ef508ccbaa7c,e966bddd11e46b735f8520f8304e368e,33cfa309d10e1d4fe30f1302807f42ce,97a17306a2882e0fd1aa3981a267df0d,177a4ad8fd76ad8240387998112c3168,0945c95ba9b82c32d12fc9d9e5229c5a,2537f10a45d7ab430334dc1de6bfbdf0
restart=0,24112.94040465355,1507.0587752908468,2000,2000,2000,2000,846.0910420417786,173.90293407440186,2000,2000,2000,976.1506431102753,2000,814.442592382431,2000,744.5298192501068,2000,557.8233737945557
stable=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,8564.432645559311,535.2770403474569,95.70083475112915,110.60311436653137,205.6792697906494,920.8121604919434,121.75212216377258,879.4893290996552,128.83075547218323,183.5644335746765,83.62189555168152,701.7837703227997,450.1218891143799,419.91523003578186,2000,146.5691797733307,2000,115.98866105079651
substitute=0,10910.827644109726,681.9267277568579,195.26859283447266,339.6481513977051,262.2532606124878,2000,120.67808699607849,96.12008047103882,751.4868929386139,205.09084630012512,93.13124895095825,801.1246173381805,793.7027561664581,115.53730654716492,2000,855.6469573974609,2000,281.1388461589813
sweep=0,12453.424669742584,778.3390418589115,124.39577531814575,2000,254.5220832824707,2000,127.38114142417908,148.26985216140747,321.70775723457336,131.4806649684906,2000,478.2397766113281,224.15359497070312,165.62487840652466,2000,156.63949584960938,2000,321.009649515152
target=0,24240.5944583416,1515.03715364635,825.8446338176727,580.2920184135437,2000,2000,2000,463.6084761619568,781.6036581993103,2000,2000,742.3094830513,2000,846.9361886978149,2000,2000,2000,2000
target=2,10213.637648820877,638.3523530513048,204.8509395122528,311.48432445526123,161.1972689628601,2000,794.1036994457245,385.14537477493286,147.08407926559448,198.5700569152832,479.74871468544006,130.19359135627747,287.4933891296387,453.49918150901794,2000,541.9198832511902,2000,118.34714555740356
transitive=0,9624.621880531311,601.5388675332069,89.29101204872131,131.80442881584167,147.52426886558533,2000,333.22100710868835,194.29546642303467,99.10147213935852,287.47232484817505,210.62337923049927,133.8977735042572,913.1088349819183,166.33691263198853,2000,393.6261360645294,2000,524.3188638687134
vivify=0,9648.462651729584,603.028915733099,159.9716796875,648.3148894309998,115.29328227043152,593.1539649963379,292.2261974811554,123.25320172309875,120.86141419410706,283.2878806591034,91.98773908615112,2000,193.4699456691742,272.2956507205963,2000,375.13051557540894,2000,379.2162902355194
warmup=0,11223.115811109543,701.4447381943464,128.27444791793823,168.896630525589,684.3968298435211,2000,852.8057613372803,336.5357277393341,217.90755224227905,578.1106526851654,204.66418480873108,267.8366551399231,222.2076816558838,281.66143107414246,2000,930.3165380954742,2000,349.501718044281
